period,amp
21474.18979040761,2.3547450719604616e-08
21480.190561913336,4.754736172392361e-08
21486.191333419058,8.347875654490008e-08
21492.19210492478,1.9178441459691151e-07
21498.1928764305,3.189015303245222e-07
21504.193647936223,3.2519995876083774e-07
21510.194419441945,1.0524426328848217e-08
21516.195190947667,3.2736432326306355e-07
21522.19596245339,3.5246571781067756e-07
21528.19673395911,3.062321463958724e-07
21534.197505464832,3.7050224450612094e-08
21540.198276970554,1.5256628922289614e-06
21546.199048476275,7.49390806799475e-08
21552.199819981997,1.1100041630383878e-07
21558.20059148772,1.6599328753732965e-07
21564.20136299344,1.9646188655128092e-07
21570.202134499163,1.672270582787114e-07
21576.202906004888,4.530163138292501e-07
21582.20367751061,2.1487839988679105e-07
21588.20444901633,6.396907628893678e-07
21594.205220522053,8.534173707802023e-07
21600.205992027775,6.975926117420317e-07
21606.206763533497,2.564080714639271e-07
21612.20753503922,4.936999551971026e-07
21618.20830654494,4.8045026739224155e-08
21624.209078050662,6.692845989046881e-07
21630.209849556384,8.984067978452557e-07
21636.210621062106,7.567741278348479e-08
21642.211392567828,1.3215253934937673e-06
21648.21216407355,1.8173345073756454e-06
21654.21293557927,5.450819193241846e-07
21660.213707084993,5.646249640174509e-07
21666.214478590715,2.890246960169074e-07
21672.215250096437,9.997319796121441e-07
21678.21602160216,4.98851466079977e-07
21684.216793107884,7.236224940948852e-07
21690.217564613606,2.4639364996354564e-07
21696.218336119327,2.1459866609474433e-08
21702.21910762505,5.8998975629218934e-08
21708.21987913077,4.1072797000080115e-07
21714.220650636493,4.3352138840211633e-07
21720.221422142215,7.75203876935907e-09
21726.222193647936,3.8508803185981507e-08
21732.222965153658,9.462322587866041e-08
21738.22373665938,2.3295364232514095e-06
21744.2245081651,1.1186216080074851e-07
21750.225279670824,2.224472269497621e-08
21756.226051176545,7.340324720954395e-07
21762.226822682267,6.433672297360193e-07
21768.22759418799,9.351746051055028e-07
21774.22836569371,4.5473702158979905e-07
21780.229137199436,1.2309800369212423e-06
21786.229908705158,3.0874073796289967e-07
21792.23068021088,4.3499102369160845e-07
21798.2314517166,1.9579403042172784e-06
21804.232223222323,3.579295743468625e-08
21810.232994728045,5.407515889323497e-07
21816.233766233767,2.626063113020264e-07
21822.23453773949,1.181233350150525e-06
21828.23530924521,6.085668993590023e-07
21834.236080750932,1.051042779014595e-06
21840.236852256654,3.885913816487272e-08
21846.237623762376,8.518854776205912e-07
21852.238395268098,1.495728118915822e-07
21858.23916677382,1.0038939251909688e-06
21864.23993827954,4.094264019493861e-07
21870.240709785263,4.8890712475101473e-08
21876.241481290985,5.3206134274766e-09
21882.242252796706,7.650993379279752e-07
21888.243024302432,7.722198076072962e-07
21894.243795808154,2.3534619020971146e-08
21900.244567313875,7.446030672133643e-08
21906.245338819597,1.409229796823705e-06
21912.24611032532,4.828827051961461e-07
21918.24688183104,6.658560747192393e-07
21924.247653336763,4.513194441799988e-07
21930.248424842484,7.115704486038181e-07
21936.249196348206,7.621457781341874e-07
21942.249967853928,4.943077355248949e-07
21948.25073935965,6.765441047319477e-08
21954.25151086537,1.03631441430134e-06
21960.252282371093,1.2301766068865216e-06
21966.253053876815,5.825092517555071e-07
21972.253825382537,3.769647594191727e-06
21978.25459688826,1.4663082204590953e-07
21984.255368393984,1.6251832135968918e-07
21990.256139899706,1.19720634889641e-06
21996.256911405428,1.1133722033361627e-06
22002.25768291115,1.5257800323795576e-07
22008.25845441687,6.682061128567864e-07
22014.259225922593,2.382808361437615e-06
22020.259997428315,1.1169960365360688e-06
22026.260768934037,1.7832302813395287e-06
22032.26154043976,1.1871517315704739e-08
22038.26231194548,6.954079124202776e-08
22044.263083451202,1.7636293821111858e-06
22050.263854956924,1.9758374420711173e-07
22056.264626462646,1.6926280442796676e-06
22062.265397968367,2.375092685063123e-07
22068.26616947409,4.084555924768422e-07
22074.26694097981,1.0506831147009741e-07
22080.267712485533,2.0867321390264763e-07
22086.268483991254,3.5948643309126963e-07
22092.269255496976,3.914855832759332e-08
22098.2700270027,3.155461839441729e-08
22104.270798508423,8.048227782690182e-08
22110.271570014145,1.85527471523826e-07
22116.272341519867,3.407176719451904e-07
22122.27311302559,3.4041603906846075e-07
22128.27388453131,4.0172001488131635e-08
22134.274656037032,2.8686609422162775e-07
22140.275427542754,4.242129459161829e-07
22146.276199048476,7.323339304773201e-07
22152.276970554198,5.07686382013282e-07
22158.27774205992,8.813750495346551e-07
22164.27851356564,2.1473445075714207e-08
22170.279285071363,2.1371926649871259e-07
22176.280056577085,3.373466107468793e-08
22182.280828082807,5.728965296307155e-09
22188.281599588532,9.497576553499567e-07
22194.282371094254,5.8901021929376536e-08
22200.283142599976,6.448584538058298e-07
22206.283914105697,4.4373930931588046e-07
22212.28468561142,3.836128752542765e-07
22218.28545711714,3.3253210914789714e-07
22224.286228622863,1.048367105089714e-07
22230.287000128585,6.09160484140025e-07
22236.287771634306,8.170002425981073e-07
22242.28854314003,3.7314727025041532e-06
22248.28931464575,2.2106420693975724e-06
22254.29008615147,4.644707981319667e-07
22260.290857657194,3.096557180662709e-07
22266.291629162915,4.859527768623664e-07
22272.292400668637,4.027786018084876e-07
22278.29317217436,1.1778026546279695e-07
22284.29394368008,3.6132610230154443e-07
22290.294715185802,4.0143287335696304e-07
22296.295486691524,3.35088105920059e-08
22302.29625819725,8.148403281870744e-07
22308.29702970297,2.594268948248881e-07
22314.297801208693,8.483968997520603e-07
22320.298572714415,1.466384922816396e-06
22326.299344220137,3.979305765754654e-07
22332.30011572586,6.112962916812589e-07
22338.30088723158,1.0653799087339002e-06
22344.301658737302,7.591262761105492e-07
22350.302430243024,4.0427134288718067e-07
22356.303201748746,1.7354994128245645e-06
22362.303973254468,1.7996990717321966e-07
22368.30474476019,1.2226799418717057e-06
22374.30551626591,6.948380836844887e-08
22380.306287771633,1.600401109833425e-06
22386.307059277355,1.3428896916370663e-07
22392.30783078308,1.038098272675075e-07
22398.308602288802,1.2628413377110722e-07
22404.309373794524,4.3406434865851575e-08
22410.310145300245,1.1505061460832828e-07
22416.310916805967,8.041621593398391e-07
22422.31168831169,3.706547706839458e-06
22428.31245981741,9.186436055834996e-07
22434.313231323133,3.711663962847463e-07
22440.314002828854,2.052619841384069e-07
22446.314774334576,3.278292211406347e-07
22452.315545840298,1.0015024879899171e-06
22458.31631734602,1.8427934756791575e-06
22464.31708885174,6.42118951589614e-07
22470.317860357463,3.123924826504417e-07
22476.318631863185,7.59604450067706e-08
22482.319403368907,4.859284256386566e-07
22488.32017487463,2.3404669746373068e-07
22494.32094638035,3.8300301607405637e-07
22500.321717886072,2.8347164409141224e-07
22506.322489391798,2.6501589958705365e-06
22512.32326089752,2.4003531209433857e-07
22518.32403240324,4.2409895818057734e-07
22524.324803908963,1.5911808274814795e-06
22530.325575414685,8.207249124626576e-07
22536.326346920407,1.1666925569023075e-07
22542.32711842613,1.3504927196065695e-07
22548.32788993185,3.021494240523107e-08
22554.328661437572,1.2884016503252034e-07
22560.329432943294,5.565372973745349e-07
22566.330204449016,1.2150631111051637e-06
22572.330975954737,4.3371256677872183e-07
22578.33174746046,2.6156576625721646e-07
22584.33251896618,8.044415601208151e-08
22590.333290471903,2.3331255848986365e-06
22596.334061977628,5.652682760418204e-07
22602.33483348335,3.545544718831469e-07
22608.33560498907,1.3635136782112284e-06
22614.336376494794,2.1479398164956992e-07
22620.337148000515,8.505965055371167e-07
22626.337919506237,3.8915250811819366e-07
22632.33869101196,1.6966601536614442e-06
22638.33946251768,3.141741309981939e-07
22644.340234023402,9.880119105459444e-07
22650.341005529124,2.85764874633521e-06
22656.341777034846,9.12413436632829e-07
22662.342548540568,1.3410876216738097e-06
22668.34332004629,1.070012412497983e-07
22674.34409155201,6.751665067595282e-07
22680.344863057733,8.175672347289965e-07
22686.345634563455,1.3671419096194624e-06
22692.346406069177,2.3292378658102456e-06
22698.3471775749,1.8988929143486496e-06
22704.34794908062,1.9230433893809177e-06
22710.348720586346,1.9955113830455527e-06
22716.349492092068,1.0714057592375466e-06
22722.35026359779,5.065838690337582e-07
22728.35103510351,5.33786784996766e-07
22734.351806609233,4.153195264884083e-07
22740.352578114955,3.7982140460206936e-07
22746.353349620676,1.9433384127923787e-06
22752.3541211264,1.814265223889387e-06
22758.35489263212,1.4599492050574755e-06
22764.35566413784,6.42773880597538e-06
22770.356435643564,7.395006850025213e-07
22776.357207149285,7.671826733817278e-07
